Chromosome	Start	End	Karyotype_band	Strand	Gene_stable_ID	Gene_name	HGNC_symbol	Gene_type
1	50902700	50902978	p32.3	-1	ENSG00000271782	RP5-850O15.4		lincRNA
1	103817769	103828355	p21.1	1	ENSG00000232753	RP11-347K2.1		lincRNA
1	50927141	50936822	p32.3	1	ENSG00000225767	RP5-850O15.3		antisense
1	50965430	50965529	p32.3	-1	ENSG00000202140	Y_RNA		misc_RNA
1	51048076	51048183	p32.3	1	ENSG00000207194	RNU6-1026P	RNU6-1026P	snRNA
1	51215968	51216025	p32.3	1	ENSG00000252825	RNU6-1253P	RNU6-1253P	snRNA
1	45959538	45965751	p34.1	-1	ENSG00000236624	CCDC163P	CCDC163P	protein_coding
1	51246012	51246822	p32.3	1	ENSG00000230585	PHBP12	PHBP12	pseudogene
1	103820969	103835986	p21.1	-1	ENSG00000234037	RP11-347K2.2		lincRNA
1	103957501	103968087	p21.1	1	ENSG00000230759	RP11-153F1.2		lincRNA
1	51312140	51312509	p32.3	1	ENSG00000237130	MRPS6P2	MRPS6P2	pseudogene
1	51525509	51525577	p32.3	1	ENSG00000265538	MIR4421	MIR4421	miRNA
1	13162645	13165443	p36.21	-1	ENSG00000229978	RP13-221M14.3		pseudogene
1	51572894	51573003	p32.3	1	ENSG00000200262	Y_RNA		misc_RNA
1	51623460	51624143	p32.3	-1	ENSG00000213478	CFL1P2	CFL1P2	pseudogene
1	103960701	104068105	p21.1	-1	ENSG00000224613	RP11-153F1.1		antisense
1	51654135	51654223	p32.3	1	ENSG00000239101	AL162430.2		miRNA
1	51656555	51656630	p32.3	1	ENSG00000221492	AL162430.1		miRNA
1	13171871	13173157	p36.21	-1	ENSG00000236179	RP13-221M14.4		pseudogene
1	51660767	51700768	p32.3	-1	ENSG00000203356	RP11-296A18.3		lincRNA
1	104066184	104066501	p21.1	1	ENSG00000222069	RN7SKP285	RN7SKP285	misc_RNA
1	51696925	51697028	p32.3	-1	ENSG00000238618	snoU13		snoRNA
1	104112175	104113296	p21.1	1	ENSG00000236085	ACTG1P4	ACTG1P4	pseudogene
1	51716270	51717144	p32.3	-1	ENSG00000233406	RP11-296A18.5		pseudogene
1	13182960	13184326	p36.21	-1	ENSG00000179412	HNRNPCP5	HNRNPCP5	pseudogene
1	44457031	44462200	p34.1	1	ENSG00000159214	CCDC24	CCDC24	protein_coding
1	13196270	13199067	p36.21	1	ENSG00000224199	WI2-2994D6.1		pseudogene
1	104210693	104210890	p21.1	-1	ENSG00000234441	RP5-1108M17.5		pseudogene
1	148555979	148596267	q21.2	1	ENSG00000243452	NBPF15	NBPF15	protein_coding
1	51730588	51731746	p32.3	-1	ENSG00000236434	RP11-296A18.6		antisense
1	104256345	104262493	p21.1	1	ENSG00000227408	AMYP1	AMYP1	pseudogene
1	51795326	51800996	p32.3	1	ENSG00000261664	RP11-275F13.1		antisense
1	43232940	43263968	p34.2	1	ENSG00000164008	C1orf50	C1orf50	protein_coding
1	13351482	13354323	p36.21	1	ENSG00000233394	RP11-248D7.2		pseudogene
1	51837942	51838896	p32.3	1	ENSG00000232027	RP11-275F13.3		pseudogene
1	156499122	156499221	q22	1	ENSG00000238843	snoU13		snoRNA
1	156557648	156557747	q23.1	-1	ENSG00000265960	AL365181.1		miRNA
1	104469189	104470428	p21.1	1	ENSG00000225191	RP11-97C18.1		pseudogene
1	156584534	156585080	q23.1	-1	ENSG00000272971	RP11-284F21.11		lincRNA
1	51847980	51848086	p32.3	1	ENSG00000206595	RNU6-877P	RNU6-877P	snRNA
1	13379149	13381237	p36.21	-1	ENSG00000231219	RP11-219C24.8		pseudogene
1	51927393	51929088	p32.3	1	ENSG00000238140	RP11-253A20.1		antisense
1	156607575	156610796	q23.1	-1	ENSG00000272068	RP11-284F21.9		lincRNA
1	51983981	52027301	p32.3	1	ENSG00000227070	RP11-191G24.1		antisense
1	13384735	13384841	p36.21	-1	ENSG00000207511	RNU6-771P	RNU6-771P	snRNA
1	52004297	52004401	p32.3	-1	ENSG00000252032	RNU6-1281P	RNU6-1281P	snRNA
1	156611458	156614679	q23.1	-1	ENSG00000272405	RP11-284F21.10		antisense
1	13411551	13414482	p36.21	1	ENSG00000237700	RP11-219C24.6		pseudogene
1	202995626	203047868	q32.1	1	ENSG00000143847	PPFIA4	PPFIA4	protein_coding
1	104615632	104616159	p21.1	1	ENSG00000243500	RP11-364B6.2		pseudogene
1	40505905	40538321	p34.2	1	ENSG00000131236	CAP1	CAP1	protein_coding
1	156616299	156631216	q23.1	-1	ENSG00000229953	RP11-284F21.7		antisense
1	52027538	52060569	p32.3	-1	ENSG00000227742	CALR4P	CALR4P	pseudogene
1	104615645	104619709	p21.1	1	ENSG00000215869	RP11-364B6.1		lincRNA
1	156657487	156661789	q23.1	-1	ENSG00000237588	RP11-66D17.3		lincRNA
1	156682004	156682966	q23.1	-1	ENSG00000223356	RP11-66D17.5		antisense
1	104695928	104696452	p21.1	-1	ENSG00000228347	FTLP17	FTLP17	pseudogene
1	13429634	13430113	p36.21	1	ENSG00000228229	RP11-219C24.10		lincRNA
1	156905923	156906036	q23.1	-1	ENSG00000211581	MIR765	MIR765	miRNA
1	13607431	13611550	p36.21	-1	ENSG00000204485	XX-FW84067D5.1		pseudogene
1	105976616	105977443	p21.1	1	ENSG00000225036	RP11-414B7.1		pseudogene
1	156955549	156955841	q23.1	-1	ENSG00000266160	RN7SL612P	RN7SL612P	misc_RNA
1	157029024	157030554	q23.1	-1	ENSG00000237842	RP11-110J1.2		pseudogene
1	157043049	157044495	q23.1	1	ENSG00000224520	KRT8P45	KRT8P45	pseudogene
1	106130197	106161580	p21.1	-1	ENSG00000230768	RP11-251P6.1		lincRNA
1	157098154	157098463	q23.1	1	ENSG00000235700	CYCSP52	CYCSP52	pseudogene
1	13632348	13635279	p36.21	1	ENSG00000224581	XX-FW84067D5.2		pseudogene
1	157155178	157157195	q23.1	1	ENSG00000229961	RP11-71G12.1		lincRNA
1	106240661	106240840	p21.1	1	ENSG00000227850	SEPT2P1	SEPT2P1	pseudogene
1	157202021	157206926	q23.1	-1	ENSG00000228239	RP11-85G21.1		lincRNA
1	203698709	203698833	q32.1	1	ENSG00000221643	SNORA77	SNORA77	snoRNA
1	157250506	157252858	q23.1	1	ENSG00000271736	RP11-85G21.3		lincRNA
1	203774749	203775391	q32.1	-1	ENSG00000227417	RP11-397P13.6		pseudogene
1	52172810	52173809	p32.3	-1	ENSG00000236973	GAPDHP51	GAPDHP51	pseudogene
1	157257493	157257843	q23.1	-1	ENSG00000237189	RP11-85G21.2		lincRNA
1	106433315	106434052	p21.1	-1	ENSG00000237897	RP11-90H3.2		pseudogene
1	157599729	157600518	q23.1	-1	ENSG00000236731	RP4-801G22.2		pseudogene
1	247875115	247887066	q44	-1	ENSG00000239395	RP11-634B7.5		processed_transcript
1	13839715	13842765	p36.21	1	ENSG00000259961	RP4-597A16.2		antisense
1	203804713	203805040	q32.1	-1	ENSG00000223505	RP11-397P13.7		pseudogene
1	106434361	106436139	p21.1	1	ENSG00000232952	RP11-90H3.1		pseudogene
1	13881496	13882189	p36.21	1	ENSG00000215909	RP4-597A16.3		pseudogene
1	203841702	203843315	q32.1	-1	ENSG00000236430	KRT8P29	KRT8P29	pseudogene
1	247938212	247939138	q44	1	ENSG00000228336	OR9H1P	OR9H1P	pseudogene
1	13949679	13949779	p36.21	-1	ENSG00000222952	RNA5SP41	RNA5SP41	rRNA
1	52174734	52175612	p32.3	1	ENSG00000232846	SLC25A6P3	SLC25A6P3	pseudogene
1	106470246	106565834	p21.1	-1	ENSG00000233047	RP11-24P14.1		lincRNA
1	157606090	157610091	q23.1	-1	ENSG00000233712	RP4-801G22.3		pseudogene
1	13950397	13950497	p36.21	-1	ENSG00000266358	AL359771.1		miRNA
1	247990788	247991804	q44	1	ENSG00000232908	HSD17B7P1	HSD17B7P1	pseudogene
1	13983806	13986405	p36.21	-1	ENSG00000237445	CTA-520D8.2		lincRNA
1	14022565	14022694	p36.21	-1	ENSG00000253085	SCARNA11		snoRNA
1	247996651	247997590	q44	-1	ENSG00000230576	OR6R1P	OR6R1P	pseudogene
1	45965725	45976739	p34.1	1	ENSG00000132763	MMACHC	MMACHC	protein_coding
1	14450728	14450830	p36.21	-1	ENSG00000252151	RNU6-1265P	RNU6-1265P	snRNA
1	203872851	203873147	q32.1	-1	ENSG00000232917	HSPE1P6	HSPE1P6	pseudogene
1	52190447	52190568	p32.3	-1	ENSG00000212624	SNORA26		snoRNA
1	106615869	106627121	p21.1	1	ENSG00000237480	RP5-947P14.1		lincRNA
1	14548386	14549613	p36.21	-1	ENSG00000231606	RP11-344F13.1		lincRNA
1	248099363	248100815	q44	-1	ENSG00000226191	RP11-438H8.8		pseudogene
1	52259637	52264824	p32.3	1	ENSG00000266993	RP4-657D16.3		antisense
1	157661552	157666249	q23.1	1	ENSG00000227217	RP11-367J7.3		antisense
1	14675450	14677518	p36.21	-1	ENSG00000234593	RP4-704D23.1		lincRNA
1	157678876	157679433	q23.1	1	ENSG00000231700	RP11-367J7.4		pseudogene
1	52266700	52266979	p32.3	1	ENSG00000272175	RP4-657D16.6		antisense
1	106623423	106624001	p21.1	-1	ENSG00000230932	RP5-947P14.2		pseudogene
1	52302013	52302082	p32.3	-1	ENSG00000212076	MIR761	MIR761	miRNA
1	203923768	203924908	q32.1	1	ENSG00000237379	CBX1P3	CBX1P3	pseudogene
1	107086964	107087366	p21.1	-1	ENSG00000270342	RP11-478L17.1		pseudogene
1	52325450	52325807	p32.3	1	ENSG00000230604	TSEN15P2	TSEN15P2	pseudogene
1	157693970	157694810	q23.1	-1	ENSG00000232366	VDAC1P9	VDAC1P9	pseudogene
1	248102275	248102961	q44	1	ENSG00000224830	OR2X1P	OR2X1P	pseudogene
1	15018625	15019109	p36.21	-1	ENSG00000235829	TBCAP2	TBCAP2	pseudogene
1	248138043	248138955	q44	1	ENSG00000237492	OR2L9P	OR2L9P	pseudogene
1	203968373	203968471	q32.1	-1	ENSG00000211554	AC096645.1		miRNA
1	52331305	52331381	p32.3	1	ENSG00000212174	Y_RNA		misc_RNA
1	52366592	52366643	p32.3	-1	ENSG00000265769	AL589663.1		miRNA
1	107322845	107323057	p13.3	1	ENSG00000270976	RP11-110F24.1		pseudogene
1	157830987	157831250	q23.1	1	ENSG00000227425	MRPS21P2	MRPS21P2	pseudogene
1	248153569	248154506	q44	1	ENSG00000224227	OR2L1P	OR2L1P	pseudogene
1	107345377	107346049	p13.3	-1	ENSG00000233449	RP11-233E12.4		pseudogene
1	52439082	52439207	p32.3	1	ENSG00000200839	RNA5SP48	RNA5SP48	rRNA
1	204001575	204010393	q32.1	-1	ENSG00000176754	LINC00303	LINC00303	lincRNA
1	248160302	248160398	q44	1	ENSG00000199442	Y_RNA		misc_RNA
1	52446145	52446486	p32.3	1	ENSG00000229032	RP11-91A18.1		pseudogene
1	248166431	248167370	q44	1	ENSG00000232215	OR2L6P	OR2L6P	pseudogene
1	107347096	107348654	p13.3	-1	ENSG00000232551	RP11-233E12.2		pseudogene
1	157894855	157918861	q23.1	1	ENSG00000236957	RP11-451O13.1		pseudogene
1	248192422	248192523	q44	1	ENSG00000200085	Y_RNA		misc_RNA
1	15442448	15478960	p36.21	-1	ENSG00000175147	TMEM51-AS1	TMEM51-AS1	processed_transcript
1	52461412	52461709	p32.3	1	ENSG00000264613	RN7SL290P	RN7SL290P	misc_RNA
1	248209090	248209191	q44	1	ENSG00000200982	Y_RNA		misc_RNA
1	52499063	52509951	p32.3	1	ENSG00000223390	RP11-91A18.4		antisense
1	248246936	248247898	q44	-1	ENSG00000197067	OR2T32P	OR2T32P	pseudogene
1	52516590	52518355	p32.3	1	ENSG00000228369	TXNDC12-AS1	TXNDC12-AS1	antisense
