gene_names	chromosome	start	end	type	refgenome	CNA
CCND1	11	69455855	69469242	focal_amp	hg19	A
CKS1B	1	154947129	154951725	focal_amp	hg19	A
MYC	8	128747680	128753674	focal_amp	hg19	A
NOTCH2	1	120454176	120612240	focal_amp	hg19	A
MYC	8	129240986	129276648	focal_amp	hg19	A
BIRC2	11	102217942	102249401	focal_del	hg19	D
CDKN2C	1	51426417	51440305	focal_del	hg19	D
CYLD	16	50775961	50835846	focal_del	hg19	D
EVI5	1	92974253	93257961	focal_del	hg19	D
FAM46C	1	118148556	118170994	focal_del	hg19	D
MAX	14	65472892	65569413	focal_del	hg19	D
NFKB2	10	104153867	104162281	focal_del	hg19	D
RB1	13	48877887	49056122	focal_del	hg19	D
TP53	17	7565097	7590856	focal_del	hg19	D
TRAF3	14	103243813	103377837	focal_del	hg19	D
